Name of Group,Link,Keywords
USA Travel  Tips,https://www.facebook.com/groups/USAtraveltips/,United States Travel Hollywood New York Holiday Tourism Vacation
APARTMENTS FOR RENT NEW YORK CITY,https://www.facebook.com/groups/apartmentsnyc/,Buy sell aparment house rent NYC room sublet
University of California  Irvine (UCI) Housing  Sublets & Roommates,https://www.facebook.com/groups/819907344763028/,Room sublet off-campus aparment rent parking property sale irvine
Lady Bikers of California,https://www.facebook.com/groups/ladybikersofcalifornia/,Motorcyle bike ride woman female travel road cali california
California dental hygienists connect,https://www.facebook.com/groups/299509453530234/,Health california hygiene mentor dental dentaljobs
UCLA IEEE,https://www.facebook.com/groups/uclaieee/,ucla ieee engineering technology ee electrical california
University of California  Santa Cruz (UCSC) Housing  Sublets & Roommates,https://www.facebook.com/groups/1450196305292286/,Buy sell apartment santa cruz roomates sublet property Kinsley Street
Silicon Valley Young Coders Club,https://www.facebook.com/groups/SiliconValleyCoders/,Programmer School College Java Python Hackathon
RIGSA,https://www.facebook.com/groups/rigsa/,Rutgers India USA Housing Association University Events Harrison
Rutgers MIT Student Association (MITSA),https://www.facebook.com/groups/MITSA.RBS/?ref=br_rs,MIT Rutgers alumini students connect courses
Arizona State University  Tempe (ASU) Housing  Sublets & Roommates,https://www.facebook.com/groups/358670027665165/,tempe arizona buy sell rent apartment property bedroom students
JOBS IN NEW YORK,https://www.facebook.com/groups/1568787353396933/,Hire Work NYC Marketing Software Lawyer Salary
Arizona Hiking,https://www.facebook.com/groups/1428020817423751/,Hike Travel Arizona Fitness Hill Experience
Arizona Photography Group,https://www.facebook.com/groups/380132055419693/,Photo Camera Arizona AZ Nature Photography # Beautiful
Arizona Gardening,https://www.facebook.com/groups/70141802175/,American Southwest garden nature arizona AZ harvest flowers desert
Arizona Diamondbacks,https://www.facebook.com/groups/2208435976/,Major League Baseball zack greinke Arizona Pitcher
Arizona Chihuahua Rescue,https://www.facebook.com/groups/ArizonaChihuahuaRescue/,Dogs Home chihuaha pets animal care arizona AZ
University of Arizona (UOFA) Housing  Sublets & Roommates,https://www.facebook.com/groups/1610553312525189/,Tuscon Buy Sell Apartment Property Students Sublet UA Arizona
You Know You're From Arizona When…,https://www.facebook.com/groups/2210508932/,AZ valley heat desert parker dam Arizona burn sun roosevelt Lake
Arizona Animal Rescue Alliance,https://www.facebook.com/groups/arizonarescuealliance/,AZ animal dog cats lost care rescue pets arizona
New York Yankees Baseball,https://www.facebook.com/groups/1434452206789122/,Yankees Yankees Stadium New York Sabathia CC Ball Bat
Arizona Real Estate Agent Forum,https://www.facebook.com/groups/AZREAgentForum/,Arizona Estate Agents Property Business Forum ADRE
ZUMBA IN ARIZONA,https://www.facebook.com/groups/zumbainarizona/,Zumba Arizona AZ Fitness Class Exercise
Washington D.C. Housing  Rooms  Apartments  Sublets,https://www.facebook.com/groups/1468086266815937/,Washington Columbia rent Buy Sell Sublet Apartment DC
Washington State Fishing,https://www.facebook.com/groups/541047202724221/,WSFS Washington Fish Sea Water Net DC
Western Washington Poultry,https://www.facebook.com/groups/380239405384808/,Buy Sell Poultry Farm Washington DC Poultry Lovers
George Washington University (GWU) Housing  Sublets & Roommates,https://www.facebook.com/groups/770438619740282/,Buy Sell off-campus apartments property sublet.Silver Spring rent
Aurora Borealis Washington State,https://www.facebook.com/groups/AuroraBorealisWA/,Aurora Borealis Washington  aurora sightings Clear Skies
Photography in New York City,https://www.facebook.com/groups/photographynyc/,Post camera photography JFK Times Square DSLR Click Photos
SW Washington Emergency Services Alerts,https://www.facebook.com/groups/SWWashingtonEmergencyServiceAlerts/,AMR Washington Emergency Awareness 911 Incidents Neighbour Alert
Hunting Washington State,https://www.facebook.com/groups/752804368092230/,Washington Hunt Eat trapping shooting wildlife
Oregon  California  Washington HORSE and TACK,https://www.facebook.com/groups/354556871282999/,Oregon Washington Horse Saddle California Ranch
Texas Lawyers,https://www.facebook.com/groups/Texaslawyers/,Texas Legal Law Cases Lawyer Judge Attorney Legal Advice
University of Texas at Arlington (UTA) Housing  Sublets & Roommates,https://www.facebook.com/groups/1375770966083934/,Texas Alrington Housing Buy Sell Apartments Sublet TX Pinewoods Apt
Texas Premier Soccer League,https://www.facebook.com/groups/187965634703129/,TPSL Football Texas TX coaches Team Knights
Texas Homeschool Support,https://www.facebook.com/groups/145242112352384/,Parent Homeschool child Texas TX Children
Chicago Photographic Society,https://www.facebook.com/groups/chicagophotographicsociety/,Chicago Photography CPS Camera Dslr Photos Capture
Lost & Found Cats & Dogs on the South/Southwest Side of Chicago (OFFICIAL),https://www.facebook.com/groups/611281392251849/,Animal Pet Lost Dog Cat Chicago South Care
CHICAGO BEARS SUPER FAN'S,https://www.facebook.com/groups/243583979125679/,Chicago Bears   Chicago  Illinois   Pro Football Weekly    670 The Score
University of Illinois (UIUC) Housing  Sublets & Roommates,https://www.facebook.com/groups/760871094027119/,UIUC Champaign  IL House rent buy sell sublet apartment students
UIUC Climbing Club,https://www.facebook.com/groups/24435742766/,UIUC Champaign  IL Climb Fitness Connect
IEEE UIUC Student Branch,https://www.facebook.com/groups/IEEE.UIUC/,IEEE UIUC Champaign Technical Engineering Students Electrical
Seattle Housing  Rooms  Apartments  Sublets,https://www.facebook.com/groups/764724473644699/,Seattle Buy Sell Apartment Sublet Washington Square Amazon Lease
Amazon Interns 2017 (Seattle),https://www.facebook.com/groups/AmazonInterns2017/,Amazon.Seattle Job Intern amazon.com students
Seattle Mariners,https://www.facebook.com/groups/MarinerFans/,Baseball Seattle Marines Fan Team  Felix Hernandez
Seattle Foodies,https://www.facebook.com/groups/3485220494/,Seattle Food Tasty Oysters Salmon Chicken Restaurant
Seattle Theatre Artists,https://www.facebook.com/groups/seattletheatreartists/?ref=br_rs,Seattle Artists Actors Network Cinema Theatre Group
Pokemon Go Seattle,https://www.facebook.com/groups/PokemonGoSeattleWashington/,Seattle Pokemon Pikachu Trainers Washington GO Game
Seattle Maharashtra Mandal,https://www.facebook.com/groups/seattlemm/,Seattle India Marathi Maharashtra Culture Group Language Washington
Seattle Nanny Parent Connection,https://www.facebook.com/groups/SeattleNannyParentConnection/,Nanny Nannies Babysitter Washington Seattle Parent Child Kid Care
New Jersey Food,https://www.facebook.com/groups/newjerseyfood/,New Jersey Food NJ Meat Sea-Food Foodies
New Jersey Institute of Technology (NJIT) Housing  Sublets & Roommates,https://www.facebook.com/groups/1398302750497836/,New Jersey NJ Students Buy Sell Hamilton Sale Lease Sublet
New Jersey Extreme Couponing,https://www.facebook.com/groups/457500364354158/,New Jersey NJ Share Sell Coupons Exchange
NEW JERSEY MUSIC,https://www.facebook.com/groups/newjerseymusic/,new Jersey NJ music artists albums songs soundcloud
NEW JERSEY VENDOR EVENTS,https://www.facebook.com/groups/NJVENDOREVENTS/,NJ products services buy sell promote New Jersey
Lost Dogs in New Jersey,https://www.facebook.com/groups/LostDogsinNewJersey/,New Jersey NJ lost found dogs foster puppies
Internal IEEE Women in Engineering of Southern New Jersey Group,https://www.facebook.com/groups/987745451260944/,New Jersey NJ Women IEEE Engineering Technology Electrical
Florida Gardening Friends,https://www.facebook.com/groups/flgardeningfriends/,Florida  Fruits Garden Flowers Plants Nature Tropical
Florida Ski Riders,https://www.facebook.com/groups/1386857534665860/,Florida Ski Riders Jet Jet-skiing water surf waves
Walt Disney World Florida.,https://www.facebook.com/groups/623633371090244/,Florida Disney Mickey Children Cartoon DIsneyLand
Central Florida Motorcycle Riders,https://www.facebook.com/groups/cfmotorcycleriders/,Florida Bike Riders Group Motorcyle Ride speed
Lost/Found Pets Of Lee County  Florida,https://www.facebook.com/groups/223053934558846/,Florida Pets Animals Lee County Animals Dogs Puppies
Florida For Rent/Looking to Rent -- Rooms/Apartments/Houses,https://www.facebook.com/groups/1551555905108527/,Florida listings rent buy sell houses lease sublets gainesville tampa
Florida Hotels  Resorts & Beach Bars,https://www.facebook.com/groups/notroubleinparadise/,Florida tourist travel hotel business bars resort beach
Stanford University Housing  Sublets & Roommates,https://www.facebook.com/groups/1694899444070553/,California Palo Alto Stanford CA apartment student rent lease
USA DATING GROUP,https://www.facebook.com/groups/320659878317713/,Single Bachelor Couple Partner Love Life
Software Jobs in USA,https://www.facebook.com/groups/softwarejobsusa/,us states jobs programmer developer java c# c++ python coding
Small Business Owners of America,https://www.facebook.com/groups/smallbusinessusa/,Business entrepreneur regulations US Company enterprise startup
WE CARE ABOUT AMERICA,https://www.facebook.com/groups/577098392345982/,America Great Again Trump Obama Politics Corruption
Silicon Valley Triathlon Club,https://www.facebook.com/groups/SVTRICLUB/,SVTC california traithlon cycle ride run group
Startup Group  - Silicon Valley,https://www.facebook.com/groups/startupgroup/,Business silicon wall street startup california jobs market invest
Silicon Valley Virtual Reality,https://www.facebook.com/groups/svvrgroup/,SVVR VR club virtual reality technology
Manchester United Supporters Club (USA),https://www.facebook.com/groups/187356951295486/,United Manchester Football Soccer Rooney GGMU USA
Michael Jackson Forever,https://www.facebook.com/groups/212902795411083/,Michael Jackon Criminal Dance America Singer Pop
HealthCare ~ ACA ( ObamaCare ),https://www.facebook.com/groups/HealthCareACA/,ACA health healtcare hospital obama insurance
House Music America,https://www.facebook.com/groups/526037524173006/,House Music Soulful Genre DJ Deep Latin Afro  Funky Classic
Native Americans,https://www.facebook.com/groups/NativeAmericans123/,Americans Tribals Traditional Revolution History Past USA America
North American Dating,https://www.facebook.com/groups/northamericandating/,Single Adults +21 Date Partner Relationship 
American Horror Story Fans,https://www.facebook.com/groups/AHSFansGroup/,Horror America Ghost Witches Scary Movies Dark
American Eskimo dogs,https://www.facebook.com/groups/2352994593/,Animal Cute Dog Buy Eskimo White Pet
Physical Therapy- USA Continuing Education Courses,https://www.facebook.com/groups/661936340517246/?ref=br_rs,Therapy Education Students Courses USA
AMERICA NOW MOVIES MUSIC SITCOMS 60'S 70'S AND MORE !,https://www.facebook.com/groups/420196738105080/,Music Movies 70's Shows Sitcoms Stars Actors
~ Baseball Fans of America ~,https://www.facebook.com/groups/1620285728213163/,Baseball Game Fan Fan-Page Sport Bat Ball America
Brooklyn USA Basketball,https://www.facebook.com/groups/137360265264/,Basketball USA Sport Program Children Kids NY NBA
NBA America,https://www.facebook.com/groups/1895700107316410/,Basketball USA Sport NBA Fan jordon
USA NEWS,https://www.facebook.com/groups/251922661930367/,USA News Trump Politics Obama World Corruption 
Rooms  flats & apartments for rent - Los Angeles - USA,https://www.facebook.com/groups/220009708402971/,LA Los Angeles Buy Sell california Hollywood Hills Apartment
New Singers and Songwriters of America,https://www.facebook.com/groups/newsingssongwriteramerica/  ,Music Upcoming Share talent songs writers Hollywood
Very Old Images of New York,https://www.facebook.com/groups/1038696779569488/?ref=br_rs,1910 New york Old history Photos Images
Singles in New York City,https://www.facebook.com/groups/14821410122/,NY New York Couple Partner Relationship Matrimonial Friends
Real Estate Investors in New York,https://www.facebook.com/groups/real.estate.investors.in.newyork/,Investor NY Estate Agents Property Commercial Apartments
New York Moms Looking For Work,https://www.facebook.com/groups/597665106987942/,Job Women Work from Home Business Income
New York Animal Rights Alliance America,https://www.facebook.com/groups/123965560959329/,Animals Rights Protect Envoirnment Cruel America NY Activism Legal
New York Cycle Club,https://www.facebook.com/groups/NYcycleclub/,Cycle Group New York NY Fitness riders Ride trips cyclists
MUFC - New York Reds,https://www.facebook.com/groups/MUFCNewYorkReds/,MUFC Manchester MU United Football England NY New york
Michigan Fish Slayers,https://www.facebook.com/groups/1700610806849076/,Michigan Fish Fisherman Sea Ocean fishing bluegills
Michigan Homeschool Support,https://www.facebook.com/groups/867017430025375/,Michigan Education Homeschoolings Children School
Michigan Foster Care/Adoption,https://www.facebook.com/groups/mifosteradopt/,Michigan Adopt Children Foster Orphans Care Foster care
Arkansas Farm Equipment,https://www.facebook.com/groups/ArkansasFarmEquipment/,Farm Equipment Trade Harvest Arkansas Farming
Arizona State University  Tempe (ASU) Housing  Sublets & Roommates,https://chat.whatsapp.com/invite/BkguNmZ1ijAF0DYDzfL3O2,Arizona ASU Fall 2017 State University Tempe Phoenix 
CMU Groups,https://chat.whatsapp.com/invite/0kYZu7GZXP6JzkNnSSlDzR,CMU Carnegie Mellon University Pittsburgh
Java Interviews,https://chat.whatsapp.com/invite/6DRi069wxY1D587Hw4nAcS,Interview Java C practise coding questions job
AIB All India Bakchod,https://www.facebook.com/IndiaBakchod/,All India Bakchod Comedy Group Improv In India amaze
Facebook group whatsapp,https://www.facebook.com/groups/624228494435796/,Whatsapp Group on Facebook Funny India Groups Porn
adult,https://www.facebook.com/groups/547666358616414/,Adult content whatsapp facebook group
adult,https://www.facebook.com/groups/1159662020743135/,Adult content whatsapp facebook group phone number
UCI CS FAQ-goo.gl/FvFnzU,https://chat.whatsapp.com/2RtSQIU6cSg0EcpPiSInui,UCI FALL 2017
Malibu,https://chat.whatsapp.com/AKFtXjF4D4gDuAD8AZw7WfView Group,Malibu friends group
IPL,https://chat.whatsapp.com/invite/HusRZBI99BrCymJJPCLxYC,IPL Match group on Whatsapp
FuN ZoNe FoR LoVeLy FrNdS,https://chat.whatsapp.com/invite/ImCk6gsfp3jAsZPP6XFCMn,Whatsapp Group for fun
fun group,https://chat.whatsapp.com/invite/GoHf4yeo1511T3tAfdBX4M#,Dream 11 Whatsapp Group
GroupsOne competitive exams Group,https://chat.whatsapp.com/invite/0fIZ80WmF561KcT3wF3y2I,GroupsOne education Group for all kinds of competitive exams and education related doubts.
MS  GRE  Toefl preparation fb group,https://www.facebook.com/groups/442774586057556/,MS - GRE/TOEFL/IELTS Preparation for US  Canada  Australia  Spring/Fall/Summer 2018 - GroupsOne
Backchod Inc,https://chat.whatsapp.com/KCxcOgAOlWTInpxschlrPlView Group,Fun filled friends group for whatsapp
Amazon Interns 2017,https://chat.whatsapp.com/3wapvh9pOCxLV9nIjgdP5AView Group,Amazon.Seattle Job Intern amazon.com students
sHAKtimaan,https://chat.whatsapp.com/8OoHdYc9MNpF13aHahV8iw,Shaktimaan comedy fun filled friends group on whatsapp